ForeignLanguage,NativeLanguage,Grammar,Answer,LastSeen,CountSeen,CountIncorrect
"der Hunger","the hunger","Noun masculine singular","the hunger  noun masculine singular","2021-10-24 15:24:23.907","1","0"
"schmutzig","dirty","Adjective","dirty  adjective","2021-10-24 15:24:39.164","2","0"
"bezahle","I pay","Verb 1st person singular","I pay  verb 1st person singular","2021-10-24 15:24:47.279","1","0"
"die Bären","the bears","Noun masculine plural","the bears  noun masculine plural","2021-10-24 15:24:51.105","1","0"
"die Vögel","the birds","Noun masculine plural","the birds  noun masculine plural","2021-10-24 15:25:02.888","1","0"
"langsam","Slowly","Adjective","Slowly  adjective","2021-10-24 17:37:40.544","1","0"
"die Orange","the orange ","Noun feminine singular","the orange   noun feminine singular","2021-10-24 17:39:59.454","1","0"
"esse","I eat","Verb 1st person singular","I eat  verb 1st person singular","2021-10-24 17:40:06.049","2","0"
"ist","he/she/it is","Verb 3rd person singular","he/she/it is  verb 3rd person singular","2021-10-24 17:40:14.248","3","0"
"siehst","you see","Verb 2nd person singular","you see  verb 2nd person singular","2021-10-24 17:40:22.799","1","0"
"trinkst","you drink","Verb 2nd person singular","you drink  verb 2nd person singular","2021-10-24 17:40:26.015","1","0"
"der Bär","the bear","Noun masculine singular","the bear  noun masculine singular","2021-10-24 17:40:30.775","1","0"
"bezahlt","he/she/it pays","Verb 3rd person singular","he/she/it pays  verb 3rd person singular","2021-10-25 06:54:18.866","2","0"
"bin","I am","Verb 1st person singular","I am  verb 1st person singular","2021-10-25 06:54:43.549","1","0"
"beginnst","you begin","Verb 2nd person singular","you begin  verb 2nd person singular","2021-10-25 06:54:48.172","1","0"
"auf wiedersehen","goodbye","Phrase","goodbye  phrase","2021-10-25 06:55:06.038","1","1"
"bis später","see you later","Phrase","see you later  phrase","2021-10-25 06:55:14.632","1","0"
"bist","you are","Verb 2nd person singular","you are  verb 2nd person singular","2021-10-25 07:02:09.061","1","0"
"alt","old","Adjective","old  adjective","2021-10-25 07:02:11.885","1","0"
"brauchen","we/they need","Verb 1st person plural 3rd person plural","we/they need  verb 1st person plural 3rd person plural","2021-10-25 07:02:28.714","1","1"
"das Bier","the beer","Noun neuter singular","the beer  noun neuter singular","2021-10-25 07:02:40.043","1","0"
"das Brot","the bread","Noun neuter singular","the bread  noun neuter singular","2021-10-25 07:02:43.811","1","0"
"bringst","you bring","Verb 2nd person singular","you bring  verb 2nd person singular","2021-10-25 07:02:51.201","1","1"
"bezahlen","we/they pay","Verb 1st person plural 3rd person plural","we/they pay  verb 1st person plural 3rd person plural","2021-10-25 07:02:57.121","1","0"
"bezahlst","you pay","Verb 2nd person singular","you pay  verb 2nd person singular","2021-10-25 07:03:00.281","1","0"
"bringt","y'all he/she/it brings","Verb 2nd person plural 3rd person singular","y'all he/she/it brings  verb 2nd person plural 3rd person singular","2021-10-25 07:03:10.867","1","0"
"brauche","I need","Verb 1st person singular","I need  verb 1st person singular","2021-10-25 07:03:18.124","1","0"
"bis bald","see you soon","Phrase","see you soon  phrase","2021-10-25 07:05:39.47","2","1"
"bis morgen","see you in the morning","Phrase","see you in the morning  phrase","2021-10-25 07:05:52.384","2","1"
"das Essen","the food","Noun neuter singular","the food  noun neuter singular","2021-10-25 07:05:57.402","2","2"
"das Obst","the fruit","Noun neuter singular","the fruit  noun neuter singular","2021-10-25 07:06:42.728","3","1"
"der Tee","the tea","Noun masculine singular","the tea  noun masculine singular","2021-10-25 07:06:50.749","2","1"
"beginnt","y’all he/she/it begin(s)","Verb 2nd person plural 3rd person singular","y’all he/she/it begin(s)  verb 2nd person plural 3rd person singular","2021-10-25 07:07:10.628","3","2"
"denkst","you think","Verb 2nd person singular","you think  verb 2nd person singular","2021-10-25 07:07:22.959","2","1"
"spricht","he/she/it speaks","Verb 3rd person singular","he/she/it speaks  verb 3rd person singular","2021-10-25 07:08:19.139","3","2"
"alles klar","understood","Phrase","understood  phrase","2021-10-25 07:08:43.62","4","2"
"fallen","we/they fall","Verb 1st person plural 3rd person plural","we/they fall  Verb 1st person plural 3rd person plural","2021-11-04 07:21:03.611","0","0"
"die Natur","Nature","Noun feminine singular","Nature  Noun feminine singular","2021-11-04 18:29:23.631","0","0"
"der Himmel","the sky","Noun masculine singular","the sky  Noun masculine singular","2021-11-04 18:37:34.288","0","0"
"die Luft","the air","Noun feminine singular","the air  Noun feminine singular","2021-11-04 18:44:29.231","0","0"
"die Blume","the flower","Noun feminine singular","the flower  Noun feminine singular","2021-11-04 18:54:33.478","0","0"
"die Blumen","the flowers","Noun feminine plural","the flowers  Noun feminine plural","2021-11-04 18:59:30.187","0","0"
"der Berge","the mountain","Noun masculine singular","the mountain  Noun masculine singular","2021-11-04 19:03:17.89","0","0"
"die Berge","the mountains","Noun masculine plural","the mountains  Noun masculine plural","2021-11-04 19:05:56.618","0","0"
"der Stern","the star","Noun masculine singular","the star  Noun masculine singular","2021-11-05 05:48:43.268","0","0"
"die Sterne","the stars","Noun masculine plural","the stars  Noun masculine plural","2021-11-05 05:49:09.212","0","0"
"die Sonne","the sun","Noun feminine singular","the sun  Noun feminine singular","2021-11-05 06:48:33.047","0","0"
"das Meer","the sea","Noun neuter singular","the sea  Noun neuter singular","2021-11-05 07:00:00.362","0","0"
"der Mond","the moon","Noun masculine singular","the moon  Noun masculine singular","2021-11-05 07:12:45.191","0","0"
"das Feuer","the fire","Noun neuter singular","the fire  Noun neuter singular","2021-11-05 07:50:18.512","0","0"
"der Wind","the wind","Noun masculine singular","the wind  Noun masculine singular","2021-11-06 13:11:18.304","0","0"
